id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,big_or_small,underweight,overweight,severe_overweight,smoker,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction
261545,53115,MBG0095,BU04840208,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,53.9,18.2,24.7,83.6,10.5,7.6,31.2,28.2,25.9,54.3,51.1,13.5,33.8,84.7,55.8,6.1,6.9,32.7,51.1,44.9,5.3,56.1,9.4,4.5
261548,53115,MBG0095,BU04840209,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,8.3,54.2,22.9,43.8,95.8,22.9,16.7,37.5,35.4,33.3,75.0,68.8,25.0,54.2,89.6,72.9,10.4,12.5,43.8,70.8,41.7,10.4,68.8,20.8,10.4
261551,53115,MBG0095,BU04840210,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,58.1,21.2,24.5,65.1,8.1,5.8,34.0,33.1,30.6,59.3,57.8,18.4,40.2,78.4,48.0,10.0,12.4,38.9,46.7,60.2,7.7,54.7,12.9,8.0
261554,53115,MBG0095,BU04840211,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.3,57.3,20.5,25.6,67.6,8.6,6.1,33.8,32.3,29.8,58.8,59.4,18.9,41.2,79.5,48.9,9.5,11.7,39.7,47.8,58.3,7.3,55.1,12.6,7.6
261560,53115,MBG0095,BU04840301,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,53.9,18.5,22.3,83.1,10.1,8.0,34.4,31.3,29.5,53.8,50.7,14.1,33.2,83.5,56.0,6.8,7.8,33.3,51.4,46.7,6.2,55.2,9.7,5.4
261563,53115,MBG0095,BU04840302,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,54.1,17.8,20.1,84.6,9.6,6.9,29.9,26.6,24.9,51.0,47.5,11.8,30.1,86.1,55.5,4.8,5.3,29.6,49.7,43.8,4.4,53.8,7.8,3.9
261566,53115,MBG0095,BU04840303,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.4,52.5,18.1,26.8,80.6,11.0,7.7,31.6,29.1,27.2,57.2,55.3,16.4,38.0,83.6,56.0,6.7,8.0,35.2,53.1,46.6,5.8,55.0,11.1,5.4
261569,53115,MBG0095,BU04840304,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.3,58.5,21.4,24.0,77.4,9.4,7.4,35.7,33.7,31.8,55.0,53.6,15.3,35.1,82.5,50.9,7.4,9.7,35.3,48.5,52.8,7.2,53.0,10.7,6.8
261572,53115,MBG0095,BU04840305,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,53.5,16.7,17.8,86.0,8.9,6.5,28.4,24.5,23.1,48.0,43.9,10.0,26.6,88.5,59.0,4.1,4.3,26.8,50.8,43.4,3.5,55.2,6.6,3.1
261575,53115,MBG0095,BU04840306,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,55.5,20.1,23.6,65.2,8.0,5.8,33.9,32.6,30.6,57.9,59.0,18.6,40.8,78.5,47.6,9.5,11.4,39.7,47.5,58.7,7.4,52.1,12.2,7.6
261578,53115,MBG0095,BU04840307,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,9.1,72.7,36.4,36.4,100.0,27.3,27.3,54.5,45.5,45.5,63.6,72.7,27.3,45.5,100.0,81.8,18.2,18.2,54.5,81.8,63.6,18.2,81.8,18.2,9.1
261584,53115,MBG0095,BU04840401,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,14.3,71.4,35.7,50.0,100.0,28.6,28.6,50.0,50.0,50.0,71.4,71.4,28.6,57.1,100.0,71.4,14.3,14.3,57.1,71.4,57.1,14.3,71.4,21.4,14.3
261587,53115,MBG0095,BU04840402,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.3,56.8,21.0,28.4,87.0,12.3,10.5,37.0,33.3,31.5,58.0,59.3,17.9,40.7,87.0,57.4,7.4,9.3,39.5,56.2,49.4,6.8,56.8,11.7,6.8
261590,53115,MBG0095,BU04840403,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,53.6,19.0,24.5,78.2,9.8,7.2,32.2,29.7,27.9,55.3,55.3,16.2,37.1,82.2,51.4,7.2,8.2,36.1,50.0,49.3,5.9,53.0,10.6,5.6
261593,53115,MBG0095,BU04840404,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,54.0,19.0,24.7,83.4,10.2,7.3,31.7,28.5,26.6,55.0,54.1,15.1,36.3,84.0,53.1,5.9,6.9,34.7,50.3,45.7,5.5,53.2,10.0,5.0
261596,53115,MBG0095,BU04840405,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.8,55.6,22.1,30.6,82.7,12.5,10.3,39.8,37.6,36.1,59.6,58.6,19.3,41.6,79.2,51.4,8.5,12.3,39.1,51.6,48.4,10.0,53.4,13.3,7.3
261602,53115,MBG0095,BU04840501,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,51.7,18.0,26.0,81.6,10.5,7.4,31.1,29.0,27.0,56.4,52.9,14.6,35.8,82.5,53.1,6.1,7.5,33.5,50.9,45.5,5.4,54.8,10.5,4.8
261605,53115,MBG0095,BU04840502,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,50.0,15.8,21.2,87.1,10.6,8.1,31.1,27.0,24.9,51.0,48.4,12.5,31.3,86.2,59.6,5.1,5.6,30.8,54.9,41.9,4.8,57.4,8.1,4.0
261608,53115,MBG0095,BU04840503,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.8,47.6,15.9,28.2,84.8,12.4,8.3,30.1,27.2,25.3,58.5,55.3,15.6,38.7,84.9,60.5,5.8,6.6,34.1,57.5,42.8,5.4,57.5,11.4,5.0
261611,53115,MBG0095,BU04840504,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.4,49.1,15.8,21.5,88.5,10.6,7.3,28.0,24.5,22.6,51.8,47.3,11.4,30.0,88.0,59.7,4.8,4.8,28.9,55.6,41.0,3.9,58.1,7.8,3.4
261614,53115,MBG0095,BU04840505,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,51.7,15.7,16.8,86.9,9.3,6.7,28.9,25.0,23.1,47.8,44.8,10.1,27.0,88.7,59.9,4.3,4.6,28.1,53.3,42.8,4.0,55.8,6.4,3.2
261623,53115,MBG0095,BU04840601,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,50.3,16.4,21.8,86.1,10.3,7.6,29.2,25.9,24.3,51.5,47.6,11.6,30.2,86.3,58.9,5.0,5.8,29.6,53.8,42.6,4.7,56.5,8.3,3.8
261626,53115,MBG0095,BU04840602,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,52.4,17.8,25.0,83.6,10.6,7.3,30.6,28.4,26.4,54.5,52.8,14.1,35.5,83.9,54.4,5.6,6.3,33.2,51.1,43.6,5.0,53.6,9.3,4.4
261629,53115,MBG0095,BU04840603,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,49.6,15.8,20.3,86.9,9.8,7.0,28.8,25.8,23.9,50.3,47.0,11.1,29.7,86.5,58.8,4.5,5.0,29.1,53.2,41.1,4.0,56.1,7.2,3.3
261632,53115,MBG0095,BU04840604,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.6,49.1,13.5,15.2,90.0,9.1,7.1,27.5,24.2,22.4,45.7,41.4,8.6,24.2,89.8,62.8,3.7,3.5,25.2,55.0,38.9,3.0,57.9,5.4,2.6
261641,53115,MBG0095,BU04840701,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.2,52.5,16.6,20.9,89.7,12.9,10.5,29.7,26.5,24.5,46.5,44.7,9.5,25.2,89.2,58.7,5.4,4.9,29.0,54.8,38.5,4.3,53.8,6.5,3.9
261644,53115,MBG0095,BU04840702,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,6.0,52.0,16.0,18.0,95.1,18.0,14.0,30.0,28.0,26.0,52.0,48.0,12.0,28.0,98.0,64.0,6.0,6.0,34.0,70.0,46.0,6.0,66.0,8.0,6.0
261650,53115,MBG0095,BU04840801,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,9.7,64.5,25.8,35.5,96.8,19.4,16.1,38.7,35.5,35.5,64.5,61.3,19.4,38.7,96.8,64.5,9.7,9.7,45.2,64.5,54.8,9.7,67.7,16.1,9.7
261653,53115,MBG0095,BU04840802,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.2,50.2,17.5,26.8,81.9,10.9,7.2,31.8,28.9,26.9,59.1,56.8,16.8,40.0,82.9,56.8,6.2,7.4,35.7,53.9,45.6,6.1,54.1,11.2,5.3
261656,53115,MBG0095,BU04840803,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,49.2,14.4,16.1,88.3,9.2,6.8,28.1,23.5,21.9,46.7,43.5,9.1,25.5,89.0,62.0,4.3,4.1,26.4,54.4,41.3,3.2,55.6,6.1,2.9
261659,53115,MBG0095,BU04840804,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,50.7,16.0,18.5,84.3,9.3,6.3,28.1,24.6,23.0,50.3,46.3,11.0,28.7,87.5,58.8,5.1,5.3,28.6,53.4,45.4,4.1,55.1,7.4,3.6
261662,53115,MBG0095,BU04840805,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,49.6,14.4,16.3,88.4,9.4,7.0,28.5,23.7,22.0,47.0,43.0,9.4,25.6,89.3,62.6,4.5,4.0,26.8,55.1,42.3,3.4,57.4,6.1,2.8
261665,53115,MBG0095,BU04840806,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,48.0,14.2,17.6,88.5,9.8,7.2,28.0,23.6,22.0,48.0,43.5,9.2,26.1,88.8,62.5,4.1,3.9,26.5,55.5,40.2,3.2,56.5,6.1,2.8
261668,53115,MBG0095,BU04840807,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.5,50.6,15.8,17.5,80.3,7.8,5.3,27.2,23.6,21.8,49.8,47.2,11.9,30.0,87.5,59.0,4.9,5.5,29.2,53.4,48.6,3.9,54.7,7.6,3.9
261671,53115,MBG0095,BU04840808,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.3,53.3,17.8,20.0,82.8,9.2,6.5,30.0,26.4,24.5,51.9,50.1,13.4,32.5,87.8,58.9,5.7,6.1,32.3,53.2,48.9,4.8,54.9,8.8,4.4
261674,53115,MBG0095,BU04840809,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,43.6,10.8,12.1,91.3,9.1,6.3,23.4,18.7,17.3,41.9,37.9,6.7,20.9,92.3,70.5,3.3,2.2,22.5,59.2,36.9,2.1,57.4,4.4,1.8
261677,53115,MBG0095,BU04840810,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,50.0,14.7,15.5,86.5,9.3,6.6,27.9,24.2,22.3,47.1,44.6,9.9,26.7,89.0,61.4,4.4,4.1,27.6,53.9,43.6,3.5,56.6,6.2,3.0
261680,53115,MBG0095,BU04840811,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,51.8,15.7,15.8,88.2,9.8,7.4,29.1,25.0,23.2,47.2,43.6,9.6,26.1,89.5,61.8,4.9,4.3,27.2,53.5,41.9,3.5,56.9,6.2,3.1
261686,53115,MBG0095,BU04840813,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,7.1,78.6,42.9,50.0,100.0,21.4,21.4,57.1,57.1,57.1,78.6,71.4,35.7,57.1,92.9,64.3,21.4,21.4,57.1,64.3,71.4,21.4,71.4,28.6,21.4
261692,53115,MBG0095,BU04840901,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,8.3,66.7,25.0,29.2,100.0,20.8,20.8,41.7,37.5,37.5,58.3,54.2,16.7,33.3,100.0,70.8,12.5,8.3,41.7,70.8,54.2,8.3,70.8,12.5,8.3
261698,53115,MBG0095,BU04843101,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.0,51.3,16.8,20.1,87.9,11.4,8.4,30.0,27.1,25.3,49.1,45.1,11.0,27.1,90.8,59.7,4.8,5.9,29.3,57.5,45.8,4.4,57.1,7.7,4.4
261701,53115,MBG0095,BU04843102,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.2,51.2,16.1,18.3,87.5,9.9,7.3,28.6,24.6,22.8,47.8,42.5,9.7,25.6,89.9,61.7,4.4,5.4,26.8,55.4,45.2,4.0,56.5,6.5,4.0
261704,53115,MBG0095,BU04843103,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,53.9,17.6,19.7,84.9,9.1,6.9,29.9,26.2,24.5,49.5,43.7,10.5,26.7,87.0,55.0,4.4,5.6,28.3,50.4,46.1,4.4,53.5,7.6,4.1
261707,53115,MBG0095,BU04843104,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.5,55.0,18.9,22.5,93.7,14.4,11.7,28.8,24.3,23.0,46.8,45.0,9.9,26.1,95.5,66.7,6.3,5.4,29.7,60.4,43.2,4.5,60.4,7.2,4.5
261713,53115,MBG0095,BU04844501,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.8,49.4,13.9,17.7,91.8,12.1,10.4,31.2,27.3,25.1,48.1,43.7,9.1,22.9,91.8,59.7,4.3,4.3,27.7,59.7,39.4,4.3,57.1,6.1,4.3
261716,53115,MBG0095,BU04844502,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,6.1,59.2,20.4,20.4,91.8,16.3,14.3,36.7,30.6,28.6,46.9,46.9,10.2,28.6,98.0,61.2,8.2,6.1,32.7,65.3,53.1,6.1,67.3,8.2,6.1
261719,53115,MBG0095,BU04844503,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.3,52.6,17.6,21.6,87.9,13.1,10.1,31.4,29.1,27.1,52.9,46.4,11.8,28.4,89.5,53.6,5.2,5.9,29.1,56.5,41.8,4.9,52.9,8.5,4.6
261722,53115,MBG0095,BU04844504,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.2,49.4,14.3,16.1,91.7,13.7,13.1,27.4,23.2,22.0,44.6,42.9,7.7,22.6,94.0,64.3,4.8,4.8,28.6,63.1,39.3,4.2,56.0,6.5,3.6
261728,53115,MBG0095,BU04847001,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.7,49.7,15.2,18.8,92.1,14.1,11.5,28.8,25.1,23.6,47.6,43.5,8.9,23.6,93.2,62.3,5.2,4.2,27.7,62.1,40.3,4.2,58.1,6.0,4.2
261731,53115,MBG0095,BU04847002,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,5.1,50.6,14.7,19.2,92.3,15.4,13.5,27.6,25.6,23.1,48.7,42.9,9.0,23.7,94.2,61.5,5.1,4.5,29.5,62.2,40.4,4.5,59.6,6.4,4.5
261734,53115,MBG0095,BU04847003,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,4.1,50.4,14.6,17.5,91.1,13.0,10.2,28.0,24.4,22.8,46.7,42.7,8.9,23.2,93.1,58.9,4.9,4.1,27.6,60.2,41.9,4.1,57.7,5.7,4.1
261737,53115,MBG0095,BU04847004,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.4,51.2,15.5,18.3,90.2,12.1,9.0,27.6,24.3,22.5,46.8,42.1,9.3,24.0,91.2,62.0,4.7,4.4,27.1,56.3,40.8,3.9,56.3,6.2,3.6
261740,53115,MBG0095,BU04847005,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,49.4,14.8,18.9,86.6,9.4,6.5,27.8,24.4,22.5,48.1,45.2,10.5,27.4,88.2,60.4,4.1,4.5,28.2,54.3,42.2,3.9,54.2,6.9,3.5
261743,53115,MBG0095,BU04847006,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,50.3,15.3,18.3,87.3,10.0,7.4,28.5,25.2,23.5,47.2,43.9,10.0,25.9,87.9,59.5,4.3,4.8,28.0,53.3,41.0,4.1,53.5,6.6,3.5
261746,53115,MBG0095,BU04847007,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.7,55.0,19.2,23.9,82.6,12.1,9.2,32.9,30.5,28.9,53.2,49.9,13.7,30.8,86.3,55.0,6.3,7.6,33.4,52.6,46.8,6.6,53.2,10.0,5.5
261749,53115,MBG0095,BU04847008,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.5,52.7,17.7,23.9,85.2,10.2,6.9,30.8,27.5,25.6,54.0,52.6,15.1,35.0,86.3,55.1,5.8,6.4,34.2,52.8,45.4,5.2,54.1,9.6,4.9
261752,53115,MBG0095,BU04847009,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,54.5,18.8,21.0,71.8,8.4,5.7,31.0,28.3,26.7,53.8,49.4,13.5,31.2,84.2,51.8,6.5,8.1,32.4,49.7,53.5,5.4,52.2,9.7,5.6
261755,53115,MBG0095,BU04847010,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,53.6,17.6,19.5,79.9,9.1,6.1,29.3,26.2,24.5,51.5,47.1,11.8,29.6,87.9,55.9,5.3,6.0,30.2,51.9,49.6,4.4,53.8,8.3,4.6
261758,53115,MBG0095,BU04847011,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,52.0,17.4,22.8,82.7,9.5,6.2,29.9,26.6,24.7,53.0,49.6,13.0,32.5,85.8,56.3,5.1,6.3,31.2,52.1,45.9,4.8,52.5,9.1,4.7
261761,53115,MBG0095,BU04847012,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,52.9,17.9,20.8,79.5,9.0,6.2,31.0,28.1,26.6,52.4,48.9,13.2,31.5,84.8,55.1,5.8,7.2,31.7,51.3,48.7,5.1,52.7,9.1,4.8
261764,53115,MBG0095,BU04847013,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,52.5,17.1,21.0,81.1,9.9,6.4,29.5,26.5,24.8,52.3,48.8,12.9,31.6,87.0,56.2,5.3,6.0,31.3,53.1,48.6,4.9,53.2,8.9,4.7
261767,53115,MBG0095,BU04847014,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.3,50.0,14.8,17.8,88.9,10.9,7.8,29.1,26.1,24.6,48.3,45.0,11.1,26.7,89.8,62.6,4.8,4.8,29.3,57.2,42.8,4.6,56.3,7.2,4.1
261770,53115,MBG0095,BU04847015,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,5.2,53.1,15.6,19.8,92.7,14.6,12.5,29.2,26.0,24.0,47.9,45.8,10.4,25.0,95.8,62.5,5.2,5.2,31.2,64.6,44.8,4.2,61.5,7.3,5.2
261776,53115,MBG0095,BU04847101,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.0,50.8,16.2,21.9,88.5,11.8,9.6,30.8,27.3,25.8,50.7,44.9,10.3,26.3,86.9,56.6,4.7,5.7,28.4,55.2,39.0,4.9,53.3,7.1,4.2
261782,53115,MBG0095,BU04847103,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.5,55.3,19.5,21.2,88.9,11.9,10.2,34.5,30.1,29.2,51.3,45.6,9.7,26.5,88.5,59.3,4.9,7.1,29.2,55.8,41.2,6.6,56.2,7.5,4.9
261788,53115,MBG0095,BU04849101,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,50.7,15.7,18.1,87.6,11.0,8.7,28.6,25.3,23.6,47.2,43.4,9.9,25.6,88.5,58.5,4.4,4.8,27.7,53.8,39.6,4.1,54.9,6.2,3.7
261791,53115,MBG0095,BU04849102,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.7,47.7,13.1,15.7,91.1,12.0,9.6,26.2,22.9,21.3,44.4,41.4,7.9,21.5,92.3,58.9,4.0,3.3,27.1,59.8,39.0,3.5,57.0,4.9,3.3
261794,53115,MBG0095,BU04849103,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.1,53.3,17.4,19.9,87.1,11.6,8.8,30.1,27.1,25.3,48.7,45.2,10.7,26.9,87.9,56.4,5.1,5.5,29.0,52.5,40.9,4.8,55.0,7.3,4.2
261797,53115,MBG0095,BU04849104,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.8,50.4,15.8,18.3,88.5,10.9,7.6,26.6,23.2,21.6,48.9,41.5,9.3,24.8,89.5,59.2,3.9,4.1,25.9,53.9,38.5,3.5,54.7,6.2,3.4
261800,53115,MBG0095,BU04849105,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.2,50.1,15.2,17.0,89.7,11.8,9.3,28.5,25.3,23.6,46.9,42.3,9.1,23.6,90.9,61.7,4.4,4.2,27.5,57.7,40.3,3.9,56.3,5.9,3.7
261806,53115,MBG0095,BU04849401,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.4,49.7,15.4,21.8,88.2,12.3,10.1,29.0,25.2,23.5,51.0,48.2,12.3,30.0,89.6,60.9,4.9,4.4,31.3,57.5,39.3,4.0,57.3,7.8,4.2
261809,53115,MBG0095,BU04849402,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.3,54.5,18.6,21.2,88.2,11.4,8.2,30.8,26.9,25.7,53.1,48.6,12.2,31.2,88.2,59.8,4.9,5.5,30.4,52.9,41.2,4.9,56.3,8.2,4.3
261812,53115,MBG0095,BU04849403,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,53.3,17.8,20.9,86.1,10.4,7.6,30.7,27.0,25.6,51.8,47.2,11.7,29.7,85.8,56.7,4.8,5.8,29.9,50.5,40.2,4.7,55.2,7.9,4.1
261815,53115,MBG0095,BU04849404,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.9,53.4,16.4,18.3,87.4,10.3,7.7,30.8,27.4,26.0,48.4,44.3,10.5,26.3,87.5,57.7,4.6,5.3,28.1,51.3,40.2,4.3,55.7,7.1,3.9
261821,53115,MBG0095,BU04849601,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,3.9,50.2,15.0,17.2,91.8,12.9,10.3,30.0,24.9,23.6,48.5,45.5,11.0,26.2,92.3,67.8,5.2,4.3,29.6,60.1,39.1,4.3,59.7,6.9,3.9
261824,53115,MBG0095,BU04849602,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,53.1,17.1,18.2,87.4,9.9,7.6,28.8,25.7,23.9,48.2,43.9,9.8,25.8,88.4,59.4,4.4,4.9,27.3,51.8,40.6,4.0,55.8,6.9,3.8
261827,53115,MBG0095,BU04849603,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,2.7,53.9,17.3,20.1,85.7,10.4,7.8,30.6,26.9,25.3,50.6,46.5,11.7,28.9,86.8,57.3,5.1,6.0,30.1,50.9,41.7,4.6,55.0,7.8,4.3
261830,53115,MBG0095,BU04849604,2020JJ00,Alphen aan den Rijn                     ,Buurt     ,S,5.1,54.4,19.0,22.8,96.2,17.7,13.9,30.4,26.6,25.3,51.9,48.1,11.4,27.8,96.2,70.9,6.3,5.1,31.6,64.6,40.5,5.1,63.3,8.9,5.1
161855,53115,MW00000,BU04890101,2020JJ00,Barendrecht                             ,Buurt     ,S,2.1,52.5,16.3,17.2,78.6,6.2,4.5,24.9,22.0,20.1,45.6,45.8,10.0,27.0,84.7,50.6,4.0,4.9,28.0,45.5,48.3,2.8,47.2,6.6,2.8
161858,53115,MW00000,BU04890102,2020JJ00,Barendrecht                             ,Buurt     ,S,2.3,54.5,18.4,19.3,69.6,6.6,4.6,29.9,27.5,25.6,49.0,50.3,13.2,31.1,78.3,46.3,7.4,9.7,33.1,43.6,54.0,5.3,45.2,8.6,4.9
161861,53115,MW00000,BU04890103,2020JJ00,Barendrecht                             ,Buurt     ,S,2.5,51.0,17.0,20.1,75.2,6.8,4.5,28.9,26.6,24.7,50.4,49.8,13.1,31.4,79.7,50.0,5.6,7.5,30.8,46.7,49.2,4.6,45.7,8.9,3.9
161867,53115,MW00000,BU04890204,2020JJ00,Barendrecht                             ,Buurt     ,S,2.4,54.2,19.8,20.3,64.2,5.9,3.9,29.6,28.1,25.8,52.8,55.2,14.7,35.3,76.7,43.9,7.9,10.0,35.5,43.7,57.7,5.5,44.9,10.3,5.7
161870,53115,MW00000,BU04890205,2020JJ00,Barendrecht                             ,Buurt     ,S,2.2,56.5,20.1,20.6,66.0,5.8,3.6,29.2,27.1,25.4,51.8,53.4,14.2,33.3,78.3,43.4,7.1,9.3,34.7,41.8,57.3,4.9,45.4,9.2,5.0
161873,53115,MW00000,BU04890206,2020JJ00,Barendrecht                             ,Buurt     ,S,2.6,51.5,16.6,17.3,72.4,6.1,4.3,29.0,26.8,25.3,48.9,47.7,11.7,29.1,80.4,49.3,5.6,6.9,30.5,46.7,52.5,4.4,45.0,7.7,3.8
161876,53115,MW00000,BU04890207,2020JJ00,Barendrecht                             ,Buurt     ,S,2.1,52.8,18.1,17.1,72.6,5.8,4.8,29.1,26.2,24.4,47.9,48.6,12.4,29.8,80.5,49.3,5.5,6.7,32.1,45.3,52.6,4.1,45.7,7.6,3.7
161882,53115,MW00000,BU04890308,2020JJ00,Barendrecht                             ,Buurt     ,S,1.9,53.1,17.1,18.7,78.0,6.5,4.4,28.6,25.8,24.2,47.9,47.5,11.8,29.5,81.6,50.3,4.3,6.3,29.8,45.3,49.2,4.5,45.5,7.4,3.4
161888,53115,MW00000,BU04890409,2020JJ00,Barendrecht                             ,Buurt     ,S,2.2,47.8,12.8,12.9,85.3,6.9,5.1,24.1,20.2,18.8,41.5,38.3,7.4,21.5,87.2,60.1,2.8,2.8,23.6,50.5,42.6,2.2,48.3,4.7,1.9
161891,53115,MW00000,BU04890410,2020JJ00,Barendrecht                             ,Buurt     ,S,2.3,48.5,13.4,13.2,85.3,6.6,4.6,23.9,19.9,18.5,41.7,38.9,7.3,21.8,87.1,58.4,2.7,2.7,24.4,50.0,43.5,2.1,48.4,4.9,1.8
161897,53115,MW00000,BU04890511,2020JJ00,Barendrecht                             ,Buurt     ,S,2.0,50.2,14.8,15.5,82.2,6.5,5.0,26.0,22.6,21.2,45.4,44.1,9.8,26.0,84.6,55.1,3.6,4.2,27.1,48.0,46.1,3.0,46.7,6.6,2.5
161900,53115,MW00000,BU04890512,2020JJ00,Barendrecht                             ,Buurt     ,S,2.3,50.8,15.8,15.4,78.7,6.2,4.7,28.6,25.2,23.4,46.8,45.1,10.9,27.4,82.1,52.8,4.6,6.3,29.0,47.2,48.8,4.1,47.3,7.4,3.2
161903,53115,MW00000,BU04890513,2020JJ00,Barendrecht                             ,Buurt     ,S,1.9,52.1,15.8,14.4,82.0,6.2,4.9,27.4,23.7,22.3,44.0,41.6,9.1,24.6,84.3,54.3,3.5,4.6,26.1,46.5,46.5,3.1,47.2,5.7,2.5
161909,53115,MW00000,BU04890614,2020JJ00,Barendrecht                             ,Buurt     ,S,2.1,48.8,13.3,12.5,85.0,6.4,4.6,23.1,19.2,17.9,41.2,39.0,7.4,21.4,87.6,59.3,2.7,2.8,23.6,49.5,43.1,2.1,48.1,4.8,1.8
