id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,big_or_small,underweight,overweight,severe_overweight,smoker,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction
156605,53115,MW00000,BU04820404,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.7,57.0,21.3,25.5,70.8,7.0,5.1,32.0,30.5,29.2,53.2,52.8,15.1,34.3,75.5,38.6,6.4,9.8,33.7,40.0,55.1,5.7,46.6,10.7,4.8
156611,53115,MW00000,BU04820501,2020JJ00,Alblasserdam                            ,Buurt     ,S,1.8,54.2,12.7,17.2,77.2,6.6,4.8,26.5,23.8,22.7,43.5,37.5,5.8,24.1,89.5,51.3,3.0,2.5,26.4,44.0,48.6,1.8,45.9,4.4,2.0
156617,53115,MW00000,BU04820503,2020JJ00,Alblasserdam                            ,Buurt     ,S,1.7,59.3,21.7,18.9,77.3,7.4,5.3,34.1,31.9,31.0,48.9,45.3,13.6,27.6,76.4,39.0,7.6,6.5,32.3,38.0,48.6,5.9,43.9,10.0,4.3
156626,53115,MW00000,BU04820602,2020JJ00,Alblasserdam                            ,Buurt     ,S,3.0,38.7,9.3,12.0,84.4,9.8,6.4,16.4,14.4,13.7,36.7,31.9,5.1,17.1,91.2,56.2,2.4,1.5,18.0,58.0,45.7,1.4,50.4,4.0,1.5
156629,53115,MW00000,BU04820603,2020JJ00,Alblasserdam                            ,Buurt     ,S,1.8,53.3,10.2,9.7,90.0,7.3,6.9,21.1,16.9,16.7,36.0,28.3,4.3,12.4,90.9,59.0,2.1,1.8,18.5,45.7,33.5,1.3,45.3,2.1,1.0
156632,53115,MW00000,BU04820604,2020JJ00,Alblasserdam                            ,Buurt     ,S,2.3,51.0,15.3,18.1,81.8,9.1,5.2,23.9,22.3,21.0,43.3,38.7,9.0,20.3,85.0,46.3,3.2,4.1,24.7,46.4,43.6,4.0,48.1,6.3,2.7
156641,53115,MW00000,BU06130101,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.9,52.4,15.2,14.7,84.1,6.6,4.8,26.3,22.7,21.8,42.2,40.9,8.5,23.1,85.0,57.8,3.6,4.0,26.7,46.7,42.7,2.5,48.6,5.2,2.5
156644,53115,MW00000,BU06130102,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.5,57.2,19.4,17.3,82.9,6.7,5.7,33.5,30.4,28.3,45.0,45.1,11.0,26.9,79.6,49.8,4.4,6.9,30.0,41.7,44.6,4.6,47.9,6.7,3.5
156647,53115,MW00000,BU06130103,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.3,55.1,17.5,12.2,87.0,7.1,6.1,28.4,24.7,23.6,36.4,37.8,6.7,18.8,85.1,57.1,3.1,4.0,25.7,42.7,39.6,2.9,53.3,3.6,2.4
156650,53115,MW00000,BU06130104,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.7,48.0,12.8,15.0,88.7,8.5,6.9,25.5,23.2,21.8,39.2,39.3,7.1,20.2,87.4,55.7,2.8,2.5,25.3,49.8,35.2,2.0,49.6,3.3,2.2
156656,53115,MW00000,BU06130205,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.8,52.8,16.8,17.7,81.2,7.2,5.0,28.1,25.5,23.6,45.4,45.7,10.9,26.8,82.3,52.8,4.1,5.5,30.0,45.1,43.6,3.4,47.7,6.4,3.2
156659,53115,MW00000,BU06130207,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.2,52.7,13.1,11.2,84.3,6.8,6.5,31.8,28.6,27.2,37.7,38.8,5.6,16.2,86.3,57.2,2.5,3.0,27.9,45.4,38.4,2.1,48.8,2.4,2.1
156665,53115,MW00000,BU06130308,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.3,54.2,18.0,20.9,77.4,7.0,4.4,29.8,27.8,27.3,49.4,50.1,13.7,32.1,79.7,49.1,5.4,7.3,33.7,44.7,49.6,4.5,46.6,8.6,4.5
156668,53115,MW00000,BU06130309,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.9,51.9,16.0,15.1,83.2,7.1,4.8,26.8,23.3,21.5,43.3,43.0,8.9,24.3,84.1,56.2,3.8,4.7,27.2,46.3,43.8,2.8,49.6,5.5,2.7
156671,53115,MW00000,BU06130310,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.1,53.7,17.2,16.8,80.3,6.7,4.8,29.3,26.1,24.8,45.9,44.2,10.8,26.2,82.1,52.1,4.3,5.9,29.6,45.3,46.7,3.5,48.1,6.9,3.1
156674,53115,MW00000,BU06130311,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.0,52.5,16.1,16.1,84.0,6.9,4.8,27.4,23.9,21.6,43.9,43.2,9.7,24.7,84.0,55.0,3.7,4.5,28.5,45.9,42.6,3.2,48.2,5.8,2.8
156677,53115,MW00000,BU06130312,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.9,53.4,16.4,21.6,81.0,7.7,5.6,32.3,31.5,29.2,47.9,49.7,14.8,31.4,77.2,53.4,5.4,8.6,34.9,45.3,44.7,6.5,47.1,9.7,4.9
156680,53115,MW00000,BU06130313,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.1,49.7,11.8,10.9,87.8,7.4,5.4,22.5,19.5,17.8,34.8,37.3,5.8,19.1,88.7,59.2,2.5,2.2,22.7,47.6,38.3,1.7,51.5,3.1,1.8
156686,53115,MW00000,BU06130414,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.0,50.2,14.8,15.3,84.0,7.5,5.0,26.3,22.6,20.5,42.9,43.7,9.3,25.1,85.6,57.4,3.2,3.6,27.7,47.4,41.6,2.5,49.4,5.1,2.3
156689,53115,MW00000,BU06130415,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.9,48.9,14.6,13.6,81.4,6.3,4.2,25.8,23.1,21.2,43.6,42.6,9.4,24.3,84.7,56.3,3.4,4.3,27.6,49.1,45.1,2.7,49.1,5.3,2.4
156692,53115,MW00000,BU06130416,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.6,46.4,11.6,10.9,86.1,8.4,6.5,21.7,17.9,16.4,37.6,37.2,6.5,19.4,89.2,62.5,2.5,2.4,23.8,50.9,37.8,1.7,50.0,3.2,1.7
156695,53115,MW00000,BU06130417,2020JJ00,Albrandswaard                           ,Buurt     ,S,2.0,52.8,16.8,18.5,79.9,6.7,4.5,28.8,26.4,23.6,48.4,48.0,12.1,29.7,81.6,52.4,4.6,5.6,30.9,45.1,45.4,3.8,49.0,7.1,3.9
156698,53115,MW00000,BU06130418,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.6,47.7,13.7,14.3,83.1,6.2,3.4,22.7,19.4,17.6,43.5,41.6,9.0,24.6,87.0,61.5,2.8,3.5,25.0,50.1,42.2,2.4,49.0,5.6,2.3
156701,53115,MW00000,BU06130419,2020JJ00,Albrandswaard                           ,Buurt     ,S,1.7,51.2,15.8,17.1,84.3,7.0,4.7,26.6,23.5,21.4,45.6,44.5,10.0,27.2,84.0,55.5,3.2,3.8,27.9,46.8,41.3,2.7,49.7,6.3,2.8
