,id,age,margins,districts_and_neighborhoods,periods,municipality,region_type,underweight,normaalgewicht_8,overweight,severe_overweight,smoker,complies with alcohol directive,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,ernstigbeperktvanwegegezondheid_18,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression, high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,voldoetaanbeweegrichtlijn_5,weekly_athletes, hearing_restriction,visual_restriction,motor_restriction,socially_lonely
172,156590,53115,MW00000,BU04820307,2020JJ00,Alblasserdam                            ,Buurt     ,2.2,42.5,55.5,18.6,22.5,55.5,71,6.5,4.5,29.6,27.9,5.1,26,52.8,10,52.2,15.4,34.3,78.1,46.3,42.1,5.6,6.3,8.1,34
173,156593,53115,MW00000,WK048204  ,2020JJ00,Alblasserdam                            ,Wijk      ,2.2,45.2,52.2,16.5,18,51.6,77.2,6.8,4.7,27.8,25.5,4,24.3,45.1,7.1,43,10.3,25.3,82,48.1,45.8,3.5,4.8,6.3,27.1
174,156596,53115,MW00000,BU04820401,2020JJ00,Alblasserdam                            ,Buurt     ,1.9,44.2,53.4,16.1,16.8,51.8,77.5,6.4,4.8,27.6,25.1,3.7,23.9,43.3,6,41.4,9.3,23.3,82.6,47.2,44.3,2.9,4.6,5.6,26.4
175,156599,53115,MW00000,BU04820402,2020JJ00,Alblasserdam                            ,Buurt     ,2.3,45.1,52.3,17.1,18.5,52.9,75.9,6.7,4.4,28.7,26.6,4.5,25.3,46.5,7.7,43.9,10.8,26.3,81.2,48.3,44.8,4,5.1,7,27.6
176,156602,53115,MW00000,BU04820403,2020JJ00,Alblasserdam                            ,Buurt     ,2.3,54.5,43.3,10.3,12.1,41.4,87.6,8.1,5.1,20.7,16.7,1.4,15.9,36.4,4.1,34.2,6.3,18.7,89.8,52,62,1.3,2.9,1.6,20.6
177,156605,53115,MW00000,BU04820404,2020JJ00,Alblasserdam                            ,Buurt     ,2.7,40,57,21.3,25.5,55.1,70.8,7,5.1,32,30.5,5.7,29.2,53.2,10.7,52.8,15.1,34.3,75.5,46.6,38.6,4.8,6.4,9.8,33.7
178,156608,53115,MW00000,WK048205  ,2020JJ00,Alblasserdam                            ,Wijk      ,1.7,39.9,57.7,18.8,18.3,48.6,77.3,7.2,5.2,31.7,29.3,4.6,28.4,47.2,8.3,42.8,11.1,26.5,80.6,44.6,42.9,3.6,6.1,5.2,30.4
179,156611,53115,MW00000,BU04820501,2020JJ00,Alblasserdam                            ,Buurt     ,1.8,44,54.2,12.7,17.2,48.6,77.2,6.6,4.8,26.5,23.8,1.8,22.7,43.5,4.4,37.5,5.8,24.1,89.5,45.9,51.3,2,3,2.5,26.4
180,156614,53115,MW00000,BU04820502,2020JJ00,Alblasserdam                            ,Buurt     ,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
181,156617,53115,MW00000,BU04820503,2020JJ00,Alblasserdam                            ,Buurt     ,1.7,38,59.3,21.7,18.9,48.6,77.3,7.4,5.3,34.1,31.9,5.9,31,48.9,10,45.3,13.6,27.6,76.4,43.9,39,4.3,7.6,6.5,32.3
182,156620,53115,MW00000,WK048206  ,2020JJ00,Alblasserdam                            ,Wijk      ,2.4,49.8,47.6,13,15.4,43.2,83.5,9.1,5.8,21.2,19.4,2.9,18.3,40.8,5.3,35.7,7.3,18.7,87.5,48.5,50.6,2.2,2.9,3.1,22.2
183,156623,53115,MW00000,BU04820601,2020JJ00,Alblasserdam                            ,Buurt     ,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
184,156626,53115,MW00000,BU04820602,2020JJ00,Alblasserdam                            ,Buurt     ,3,58,38.7,9.3,12,45.7,84.4,9.8,6.4,16.4,14.4,1.4,13.7,36.7,4,31.9,5.1,17.1,91.2,50.4,56.2,1.5,2.4,1.5,18
