underweight,overweight,severe_overweight,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction,big_small,smoker_p
1.7,48.0,12.8,88.7,8.5,6.9,25.5,23.2,21.8,39.2,39.3,7.1,20.2,87.4,55.7,2.8,2.5,25.3,49.8,35.2,2.0,49.6,3.3,2.2,0,15.0
1.8,52.8,16.8,81.2,7.2,5.0,28.1,25.5,23.6,45.4,45.7,10.9,26.8,82.3,52.8,4.1,5.5,30.0,45.1,43.6,3.4,47.7,6.4,3.2,0,17.7
1.2,52.7,13.1,84.3,6.8,6.5,31.8,28.6,27.2,37.7,38.8,5.6,16.2,86.3,57.2,2.5,3.0,27.9,45.4,38.4,2.1,48.8,2.4,2.1,0,11.2
2.3,54.2,18.0,77.4,7.0,4.4,29.8,27.8,27.3,49.4,50.1,13.7,32.1,79.7,49.1,5.4,7.3,33.7,44.7,49.6,4.5,46.6,8.6,4.5,0,20.9
1.9,51.9,16.0,83.2,7.1,4.8,26.8,23.3,21.5,43.3,43.0,8.9,24.3,84.1,56.2,3.8,4.7,27.2,46.3,43.8,2.8,49.6,5.5,2.7,0,15.1
2.1,53.7,17.2,80.3,6.7,4.8,29.3,26.1,24.8,45.9,44.2,10.8,26.2,82.1,52.1,4.3,5.9,29.6,45.3,46.7,3.5,48.1,6.9,3.1,0,16.8
2.0,52.5,16.1,84.0,6.9,4.8,27.4,23.9,21.6,43.9,43.2,9.7,24.7,84.0,55.0,3.7,4.5,28.5,45.9,42.6,3.2,48.2,5.8,2.8,0,16.1
1.9,53.4,16.4,81.0,7.7,5.6,32.3,31.5,29.2,47.9,49.7,14.8,31.4,77.2,53.4,5.4,8.6,34.9,45.3,44.7,6.5,47.1,9.7,4.9,0,21.6
2.1,49.7,11.8,87.8,7.4,5.4,22.5,19.5,17.8,34.8,37.3,5.8,19.1,88.7,59.2,2.5,2.2,22.7,47.6,38.3,1.7,51.5,3.1,1.8,0,10.9
2.0,50.2,14.8,84.0,7.5,5.0,26.3,22.6,20.5,42.9,43.7,9.3,25.1,85.6,57.4,3.2,3.6,27.7,47.4,41.6,2.5,49.4,5.1,2.3,0,15.3
1.9,48.9,14.6,81.4,6.3,4.2,25.8,23.1,21.2,43.6,42.6,9.4,24.3,84.7,56.3,3.4,4.3,27.6,49.1,45.1,2.7,49.1,5.3,2.4,0,13.6
1.6,46.4,11.6,86.1,8.4,6.5,21.7,17.9,16.4,37.6,37.2,6.5,19.4,89.2,62.5,2.5,2.4,23.8,50.9,37.8,1.7,50.0,3.2,1.7,0,10.9
2.0,52.8,16.8,79.9,6.7,4.5,28.8,26.4,23.6,48.4,48.0,12.1,29.7,81.6,52.4,4.6,5.6,30.9,45.1,45.4,3.8,49.0,7.1,3.9,0,18.5
1.6,47.7,13.7,83.1,6.2,3.4,22.7,19.4,17.6,43.5,41.6,9.0,24.6,87.0,61.5,2.8,3.5,25.0,50.1,42.2,2.4,49.0,5.6,2.3,0,14.3
1.7,51.2,15.8,84.3,7.0,4.7,26.6,23.5,21.4,45.6,44.5,10.0,27.2,84.0,55.5,3.2,3.8,27.9,46.8,41.3,2.7,49.7,6.3,2.8,0,17.1
2.3,46.8,12.8,87.0,8.8,6.2,23.7,20.6,19.0,38.8,37.3,5.9,18.4,87.8,61.4,2.9,2.7,23.6,49.5,37.7,1.9,49.5,3.4,1.8,0,12.7
2.2,47.8,12.9,86.6,8.6,6.0,25.3,20.1,18.4,40.1,37.8,6.5,18.6,87.6,57.7,2.9,2.3,24.6,50.5,38.8,1.9,51.0,4.3,1.7,0,13.1
1.7,53.9,15.9,77.4,5.9,3.3,25.0,21.8,19.9,44.5,43.7,10.3,26.2,84.2,56.0,4.0,4.9,28.3,44.9,49.7,3.2,47.1,6.9,2.9,0,16.0
1.7,54.3,15.6,78.3,5.9,3.4,24.4,20.7,18.9,42.8,41.9,8.9,24.1,85.8,57.1,3.6,3.8,27.0,44.7,48.2,2.6,46.9,5.6,2.5,0,14.6
1.6,47.1,11.0,84.9,7.5,5.3,20.7,16.7,15.5,38.8,36.3,6.0,19.3,90.5,64.3,2.5,1.8,22.3,51.5,43.1,1.4,49.2,3.5,1.4,0,10.3
2.0,52.0,15.3,80.4,6.6,3.8,25.6,21.8,20.1,43.8,44.0,9.7,26.3,84.6,56.8,3.9,4.4,28.0,46.0,47.9,2.8,47.6,6.0,2.6,0,14.4
2.2,42.7,10.9,87.7,10.0,7.0,22.9,19.1,17.6,46.0,41.9,8.5,25.2,88.4,56.6,2.7,2.1,26.1,55.5,33.9,2.0,51.2,4.2,2.0,0,16.8
2.2,41.3,9.0,87.6,10.1,8.2,22.6,19.1,17.6,38.6,35.2,5.8,17.5,90.7,64.4,2.8,2.1,21.9,56.6,33.9,1.8,53.3,2.7,1.4,0,10.7
1.6,48.8,13.0,84.8,7.1,5.2,25.2,21.2,19.7,43.0,39.6,7.4,22.8,88.0,58.8,2.7,2.7,23.9,50.3,41.3,2.2,52.3,4.4,1.9,0,13.1
1.7,44.1,10.0,89.9,8.3,6.8,25.2,20.7,19.4,39.1,35.3,5.9,18.8,89.1,66.2,2.6,2.0,21.7,54.5,32.4,1.9,52.7,3.1,1.7,0,11.2
1.9,53.6,17.4,77.4,8.1,5.9,30.3,27.5,25.8,50.8,48.5,12.0,30.4,81.1,49.1,4.6,6.2,30.7,45.2,46.1,4.4,48.9,7.4,3.6,0,20.7
2.0,52.5,16.8,77.4,7.8,5.3,29.8,27.1,25.4,51.7,49.4,13.0,31.9,81.2,49.4,5.1,6.2,30.9,46.9,46.0,4.7,51.3,8.2,3.8,0,20.6
1.4,53.2,15.6,79.7,8.3,7.3,30.3,27.0,25.3,45.2,46.4,10.8,27.2,83.5,46.8,4.8,4.6,31.4,46.3,44.4,3.4,49.9,5.1,3.3,0,18.6
2.1,53.0,17.4,70.5,7.4,5.1,30.0,27.9,26.1,54.4,52.8,14.5,35.3,79.2,47.8,6.5,7.9,34.1,46.2,51.1,5.4,50.3,9.1,4.6,0,21.3
2.1,48.2,13.9,80.9,7.5,5.3,25.5,21.4,20.0,46.4,43.2,9.3,26.7,85.8,58.2,3.7,3.7,25.8,50.7,43.3,2.7,50.9,5.6,2.2,0,14.4
1.9,49.3,13.7,85.6,8.4,6.6,26.5,22.8,21.4,46.2,42.6,8.9,25.3,86.2,58.7,3.6,3.3,26.0,49.7,38.6,2.7,52.8,5.3,2.2,0,16.5
1.7,43.8,11.4,89.0,7.6,5.7,21.4,17.4,16.0,45.2,37.0,6.3,21.6,89.9,61.2,2.3,2.2,20.5,55.0,36.2,1.9,54.6,4.4,1.5,0,14.5
