underweight,overweight,severe_overweight,drinker,heavy_drinker,severe_drinker,one_or_more_long-term_conditions,restricted_because_of_health,long-term_illnesses_and-limited,moderate_high-risk_anxiety_depression,lonely,very_serious_lonely,emotionally_lonely,experienced_health_good_very_good,weekly_athletes,visual_restriction,motor_restriction,socially_lonely,normal_weight,complies_with_alcohol_directive,severely_restricted-due_to_health,comply_with_exercise_guideline,high-risk_anxiety_depression,hearing_restriction,big_small,smoker_p
0.8,46.7,11.9,81.0,5.8,3.6,23.1,19.8,17.6,37.6,39.0,6.9,21.4,80.5,52.7,2.2,3.3,23.4,42.0,31.9,1.6,44.8,3.3,1.1,0,12.9
1.2,50.0,15.1,79.8,6.1,3.3,25.9,22.3,20.6,44.2,42.4,8.9,25.5,79.0,49.4,3.3,4.7,26.7,41.9,36.7,2.7,45.8,5.8,2.4,0,18.8
1.4,51.2,15.7,77.9,6.6,3.9,27.6,25.5,23.8,46.2,46.1,10.7,28.1,77.2,44.8,3.9,5.6,29.4,40.8,37.7,3.2,45.1,6.4,3.2,0,19.8
0.6,48.0,12.1,84.9,7.2,4.7,22.6,18.1,16.8,37.0,36.5,6.4,19.3,82.3,53.0,1.8,2.1,22.2,41.7,28.5,1.4,44.1,2.9,1.2,0,14.4
0.9,50.7,15.2,81.7,6.0,4.1,27.0,22.5,21.0,42.2,40.3,8.5,23.5,79.5,47.7,2.8,4.0,25.7,40.9,33.9,2.5,44.9,5.0,2.1,0,16.8
1.2,46.7,12.0,85.4,6.4,3.8,22.6,18.3,17.1,38.9,37.1,6.8,21.2,84.8,56.8,2.5,2.5,22.4,46.3,31.4,1.6,47.4,3.7,1.6,0,13.8
0.0,41.2,8.6,84.0,5.3,3.7,17.6,14.4,13.4,30.5,28.9,2.7,12.8,83.4,51.3,0.5,0.5,16.6,43.9,26.7,0.0,43.3,1.1,0.5,0,9.1
0.9,49.0,13.4,83.3,6.9,4.0,22.8,20.3,18.7,40.5,38.1,7.0,21.1,81.4,47.1,2.1,2.8,23.5,42.0,31.7,1.7,42.8,3.9,1.9,0,16.6
0.6,42.5,8.7,83.5,6.3,4.2,19.8,15.9,14.1,32.3,31.7,3.9,15.0,83.8,53.3,1.8,1.2,19.5,45.5,28.7,0.6,45.8,1.8,0.6,0,10.8
0.8,47.8,12.9,79.3,5.5,3.6,23.8,20.9,19.6,41.0,38.4,6.6,21.5,78.9,45.7,2.5,3.0,24.0,40.2,33.3,2.2,40.5,5.0,2.2,0,15.4
0.8,49.2,13.4,82.9,6.1,3.7,21.9,18.5,16.9,39.6,35.1,5.4,18.4,82.7,50.1,1.9,2.2,20.9,40.9,31.6,1.4,42.8,3.4,1.4,0,14.6
0.0,38.1,4.8,76.2,2.4,0.0,14.3,9.5,9.5,24.9,21.4,0.0,7.1,76.2,42.9,0.0,0.0,11.9,31.0,23.8,0.0,33.3,0.0,0.0,0,2.4
0.0,44.0,8.7,78.7,3.3,2.7,19.3,16.7,15.3,32.7,31.3,3.3,14.7,80.7,39.3,0.7,0.7,19.3,39.3,31.3,0.0,38.7,0.7,0.7,0,10.0
0.0,39.1,4.3,73.9,0.0,0.0,8.7,8.7,4.3,17.4,17.4,0.0,4.3,69.6,30.4,0.0,0.0,8.7,21.7,17.4,0.0,26.1,0.0,0.0,0,4.3
0.9,47.6,12.7,80.4,4.9,3.1,22.5,19.0,17.1,39.3,37.6,6.0,19.9,82.4,50.0,1.8,2.3,21.9,43.3,38.7,1.4,43.0,3.4,1.2,0,13.0
0.0,23.1,0.0,61.5,0.0,0.0,0.0,0.0,0.0,15.4,15.4,0.0,0.0,69.2,30.8,0.0,0.0,7.7,30.8,15.4,0.0,23.1,0.0,0.0,0,0.0
1.0,51.1,16.6,73.5,4.9,3.3,28.3,26.0,24.1,46.8,44.9,9.8,26.4,74.3,41.5,3.6,5.9,27.7,38.9,43.5,3.4,41.2,6.5,2.3,0,19.0
0.0,43.2,8.0,77.3,3.4,2.3,17.0,13.6,12.5,34.1,33.0,2.3,13.6,79.5,45.5,1.1,0.0,15.9,35.2,29.5,0.0,37.5,1.1,0.0,0,8.0
1.4,45.1,12.3,78.3,4.9,3.1,23.2,19.2,17.4,41.3,41.4,7.5,22.9,82.2,51.8,2.6,3.0,24.2,45.5,40.2,1.8,43.2,4.3,1.6,0,11.8
1.3,46.1,12.0,78.3,5.2,3.3,23.5,19.6,17.7,40.9,42.0,7.6,23.4,82.5,52.6,2.9,3.0,25.2,45.8,41.9,1.7,43.2,4.3,1.4,0,12.1
1.3,44.0,10.9,80.0,5.4,3.5,21.5,17.2,15.5,40.4,39.9,6.5,21.8,84.6,55.7,2.4,2.1,22.9,47.8,40.3,1.2,43.7,3.6,1.1,0,12.0
0.9,38.8,8.1,81.4,4.3,2.5,19.3,14.9,13.7,36.0,35.4,4.8,18.3,84.2,56.5,1.2,0.9,19.9,48.1,34.5,0.6,42.5,2.2,0.3,0,9.0
1.4,45.1,11.3,80.9,5.7,3.8,23.3,19.1,17.4,40.2,40.8,7.2,22.4,84.0,55.2,2.6,2.5,24.6,47.7,39.6,1.6,44.9,3.9,1.4,0,11.9
1.9,51.8,18.3,54.8,4.4,2.1,30.5,30.3,27.1,57.6,63.9,19.9,43.7,65.0,34.5,9.2,12.9,41.7,37.5,57.9,5.8,39.1,11.8,6.2,0,24.5
1.5,43.9,12.1,80.5,5.9,3.4,22.3,18.7,16.8,45.3,45.5,9.2,28.3,82.9,53.0,2.6,2.9,26.4,47.6,39.3,1.8,43.3,5.2,1.7,0,15.7
1.1,44.7,11.8,78.2,5.0,2.9,21.2,18.0,16.3,41.8,40.4,7.3,23.2,82.5,50.0,2.0,2.3,23.8,45.4,41.8,1.4,43.8,4.0,1.2,0,13.3
1.4,45.5,13.0,77.3,5.3,3.0,22.0,19.1,17.1,44.7,44.2,8.6,26.7,80.3,47.6,2.4,3.0,25.9,43.4,41.2,1.7,43.4,4.9,1.5,0,16.7
1.6,48.5,15.3,66.7,5.3,2.9,26.8,25.2,22.7,51.8,54.9,15.1,36.4,73.6,42.9,5.3,7.0,34.5,41.7,49.5,3.7,40.3,8.4,3.6,0,20.8
0.4,45.1,12.2,72.2,3.9,2.7,24.3,21.6,19.6,41.6,43.3,8.4,25.1,76.1,43.9,3.5,4.3,25.9,41.6,41.6,2.0,38.8,3.9,1.6,0,13.7
1.0,47.2,14.6,76.0,5.8,3.5,25.7,22.5,20.5,47.2,46.5,9.9,28.6,77.3,45.7,3.3,4.6,28.0,42.5,41.1,2.6,41.2,6.0,2.0,0,18.2
1.8,47.8,15.6,70.6,5.6,2.9,25.6,23.2,21.0,51.6,52.5,13.2,34.3,77.0,45.2,4.7,6.4,31.9,44.2,48.5,3.3,43.4,8.5,3.2,0,20.5
1.0,48.2,14.9,72.6,5.2,3.2,27.4,24.6,22.6,48.8,51.2,12.3,32.7,74.2,42.7,4.0,5.6,31.5,40.7,44.0,3.2,39.9,6.7,2.6,0,20.0
1.5,52.4,19.2,58.1,4.6,2.6,31.4,30.7,28.2,54.4,58.5,17.2,38.4,67.3,34.6,7.4,11.2,38.3,37.1,57.3,5.4,38.9,10.5,4.9,0,22.3
0.6,48.8,15.2,74.8,5.5,3.3,27.6,24.2,22.4,45.8,47.0,10.0,28.5,74.5,42.1,2.4,4.2,28.2,38.8,40.0,3.0,39.4,4.8,1.8,0,18.2
0.9,45.3,11.2,81.0,4.9,3.4,22.2,17.9,16.5,39.0,36.8,5.6,19.7,82.7,50.9,1.7,2.1,21.2,44.2,38.0,1.3,43.4,3.0,0.9,0,12.4
0.0,44.3,9.9,77.8,4.4,3.4,23.6,19.7,18.7,38.9,36.5,5.9,19.7,77.8,47.8,2.0,3.0,20.7,41.4,36.0,1.5,40.4,3.0,0.5,0,12.8
1.4,51.4,17.2,66.2,5.2,2.9,29.2,27.9,25.5,51.7,52.3,14.1,33.7,72.6,40.1,6.2,9.0,33.2,40.4,51.5,4.6,43.2,9.0,4.1,0,21.3
0.8,51.3,18.4,65.5,5.3,3.1,34.5,33.7,31.8,54.3,54.7,14.8,35.7,64.3,34.8,5.8,10.9,34.8,36.5,48.5,5.8,38.4,8.9,3.3,0,24.0
1.5,49.5,17.2,67.4,5.6,2.9,30.1,28.9,26.8,56.1,59.0,16.9,40.4,69.7,39.8,6.2,9.1,37.3,40.7,48.9,5.4,42.4,10.9,4.3,0,25.6
1.2,46.7,12.5,80.6,5.7,3.7,23.2,19.1,17.6,42.2,42.0,7.8,24.3,83.2,52.2,2.3,2.7,24.7,45.3,40.0,1.9,44.8,4.4,1.6,0,13.8
0.0,38.0,7.3,75.4,2.8,1.1,15.1,11.2,9.5,37.4,33.0,4.5,18.4,84.9,54.2,0.6,0.6,17.9,45.8,38.0,0.0,40.8,2.2,0.0,0,8.9
0.8,42.3,9.7,80.5,4.4,3.0,21.1,16.7,15.4,38.3,37.0,5.4,19.7,84.1,53.1,1.7,1.7,21.4,46.9,39.3,1.1,44.8,3.0,0.8,0,10.1
1.1,49.3,15.1,73.8,5.0,3.0,27.0,24.2,22.5,45.2,43.9,9.5,26.0,76.9,44.1,3.2,5.3,27.1,40.7,43.7,3.5,41.7,6.5,2.4,0,17.5
1.0,48.4,14.0,77.1,5.5,3.7,25.8,22.4,21.0,44.1,43.5,9.3,25.8,79.3,47.3,3.0,4.2,26.7,42.9,42.1,2.5,42.8,5.7,2.1,0,15.7
0.7,43.4,9.3,81.4,4.6,3.1,20.6,15.8,14.6,35.8,36.9,5.5,19.3,85.6,55.1,1.6,1.5,21.0,46.4,38.5,0.9,43.2,2.4,0.7,0,8.9
1.6,55.1,21.9,56.8,4.6,2.4,34.7,34.9,32.2,59.0,62.6,19.6,43.1,63.3,31.8,9.2,14.7,40.8,35.4,58.9,6.7,38.9,12.5,6.2,0,24.3
1.5,53.9,20.1,54.4,4.2,1.9,29.2,29.7,27.2,58.6,62.6,18.7,43.0,66.6,32.5,7.9,12.1,40.5,36.2,59.8,5.4,40.2,12.2,6.2,0,24.0
0.7,42.3,11.6,78.5,5.3,2.8,21.8,18.0,15.8,43.7,41.9,7.4,25.4,79.6,50.7,1.4,2.1,22.5,44.0,35.9,1.1,39.4,4.2,0.7,0,14.1
0.4,40.2,8.4,78.5,3.8,3.1,21.1,17.6,15.7,37.2,36.0,4.6,18.8,82.0,52.1,1.1,1.5,20.7,45.6,37.9,1.1,43.7,2.3,0.4,0,9.2
0.5,46.6,12.1,70.4,3.4,1.9,21.8,18.9,17.0,41.7,44.2,7.8,25.7,76.7,41.3,2.4,2.9,27.2,38.3,44.2,1.0,39.3,3.9,1.5,0,13.6
1.2,49.7,15.7,74.2,5.8,3.6,27.1,24.0,22.2,48.9,49.7,11.9,32.2,77.3,46.4,4.0,5.4,30.5,42.1,44.4,3.4,42.3,6.9,2.6,0,18.9
1.1,51.0,16.6,70.5,4.5,2.5,27.9,25.6,23.1,45.7,47.1,10.3,27.9,73.4,38.2,3.6,5.6,29.0,37.0,45.4,3.1,41.2,5.8,1.9,0,19.5
0.0,31.4,5.0,81.4,3.6,2.1,15.0,10.0,9.3,34.3,31.4,3.6,16.4,84.3,59.3,0.7,0.0,16.4,50.7,30.7,0.0,41.4,1.4,0.0,0,7.1
1.1,29.2,3.4,83.1,2.2,1.1,14.6,10.1,9.0,28.1,27.0,1.1,10.1,84.3,61.8,0.0,0.0,13.5,48.3,23.6,0.0,40.4,0.0,0.0,0,4.5
0.0,36.6,6.9,75.2,3.0,2.0,17.8,14.9,12.9,36.6,36.6,5.0,19.8,78.2,45.5,1.0,1.0,18.8,42.6,32.7,1.0,38.6,3.0,0.0,0,10.9
0.0,27.8,0.0,72.2,0.0,0.0,5.6,5.6,0.0,16.7,16.7,0.0,5.6,72.2,44.4,0.0,0.0,5.6,27.8,11.1,0.0,27.8,0.0,0.0,0,0.0
0.0,27.5,2.5,75.0,0.0,0.0,12.5,7.5,7.5,23.7,25.0,0.0,10.0,77.5,47.5,0.0,0.0,12.5,42.5,27.5,0.0,37.5,0.0,0.0,0,2.5
0.8,42.8,9.8,82.0,4.9,4.1,23.7,18.8,17.3,38.1,37.6,5.9,19.8,83.2,54.6,1.9,2.1,22.4,47.7,37.9,1.5,45.6,2.9,1.0,0,10.3
1.9,51.5,19.2,58.4,4.9,2.7,32.1,31.3,28.6,57.2,62.2,18.9,42.2,66.6,37.4,8.9,12.8,40.0,39.1,57.3,6.1,39.6,11.8,6.0,0,23.1
1.3,48.5,15.2,73.7,5.3,3.1,27.5,24.6,22.9,46.1,45.5,10.0,27.2,76.1,43.8,4.4,6.2,27.9,41.9,45.2,3.1,41.9,6.2,2.4,0,17.0
0.8,47.2,15.4,67.1,4.2,2.2,27.5,25.8,23.9,48.0,47.2,11.5,29.2,72.5,41.0,3.9,7.0,29.2,40.4,46.9,3.4,41.0,7.6,2.8,0,18.3
1.1,43.9,12.4,77.4,5.4,3.2,23.1,19.5,17.6,45.7,48.2,9.5,29.4,79.4,48.6,2.3,2.9,27.4,45.0,39.1,1.6,41.3,5.0,1.4,0,16.5
1.1,50.1,15.5,72.5,5.0,3.0,26.6,23.2,21.3,45.6,47.4,10.4,28.8,77.0,44.0,3.7,5.1,29.1,40.2,47.0,2.7,42.2,5.9,2.2,0,17.9
1.2,49.8,14.2,77.3,5.3,3.6,24.7,20.7,18.9,42.9,43.6,8.9,25.8,81.3,48.7,2.9,3.4,26.6,42.0,43.3,2.0,44.4,4.9,1.7,0,15.4
1.3,50.5,16.7,68.7,5.3,3.1,29.3,27.3,25.0,52.2,54.0,14.9,35.9,72.5,42.7,5.5,7.8,34.2,40.2,48.4,4.5,41.7,9.1,3.5,0,22.1
1.3,50.9,16.3,75.1,6.1,3.9,27.4,24.0,21.9,47.6,48.8,11.4,30.3,78.1,46.7,4.1,5.5,30.2,42.1,45.0,3.3,43.4,6.7,2.6,0,19.4
1.6,44.6,10.4,81.2,5.4,3.8,23.3,19.0,17.6,38.5,36.5,5.7,19.5,81.9,51.1,1.6,1.8,21.0,43.9,36.7,1.4,43.9,3.2,0.9,0,10.9
0.9,50.3,14.8,74.0,5.5,3.7,28.3,24.8,22.8,44.8,46.9,10.7,29.1,76.1,45.9,4.0,5.7,29.5,40.7,43.9,3.4,42.4,5.7,2.6,0,16.8
1.2,49.1,15.4,75.8,5.6,4.0,28.1,24.2,22.5,47.4,48.2,11.0,30.8,77.4,48.3,3.5,5.1,29.1,42.5,43.3,3.0,43.4,6.3,2.3,0,17.1
1.6,50.8,17.3,69.1,5.8,3.3,28.2,26.1,24.1,52.2,54.9,14.8,36.0,74.3,42.9,5.2,7.2,34.1,41.3,49.2,4.3,42.1,9.6,3.8,0,22.0
1.4,52.1,18.1,68.9,5.6,3.3,29.5,27.4,25.4,51.9,54.2,14.7,35.7,73.0,41.2,5.0,7.6,33.9,38.8,47.8,4.4,42.3,9.4,3.9,0,22.8
1.3,51.5,16.7,68.5,5.4,3.5,29.0,27.0,24.7,49.2,51.4,13.6,33.0,74.8,41.9,4.8,7.2,32.9,39.9,49.3,4.1,42.3,8.3,3.8,0,19.6
0.5,38.3,9.3,77.7,4.8,2.1,19.1,16.0,14.4,46.8,47.3,9.6,31.4,78.2,50.0,1.6,2.1,26.1,45.2,34.0,1.1,41.0,5.3,1.1,0,17.0
0.8,50.0,14.6,74.3,5.0,3.1,24.4,21.1,19.0,44.1,46.2,10.0,28.2,78.9,46.4,3.1,3.6,28.2,40.0,43.5,2.1,42.5,5.2,1.9,0,16.5
1.2,50.8,15.6,72.5,4.8,2.9,26.3,23.3,21.5,45.5,46.8,10.9,28.7,77.3,44.4,3.6,5.3,28.7,39.9,45.9,2.9,42.7,6.4,2.4,0,17.5
0.6,47.1,12.1,78.8,5.0,3.5,24.4,20.4,18.8,37.9,36.5,5.6,19.1,80.3,49.4,2.1,2.4,21.5,41.2,38.8,1.5,44.1,3.2,0.9,0,10.9
0.6,51.6,15.1,67.9,4.5,2.9,32.1,29.5,27.6,43.9,47.9,11.5,29.5,70.5,40.4,5.0,7.7,30.8,36.0,48.1,4.2,38.5,6.1,2.9,0,15.7
1.1,45.4,11.6,70.5,3.9,2.0,20.8,16.9,15.1,42.0,46.6,10.1,27.9,82.6,51.7,3.2,3.3,28.6,46.0,48.1,1.7,40.7,4.8,1.8,0,11.6
1.2,43.4,10.9,72.8,4.3,2.2,20.9,17.3,15.6,42.6,45.0,9.2,26.6,82.7,53.5,2.8,3.2,26.9,47.6,45.3,1.7,41.7,4.8,1.4,0,12.0
0.5,42.7,10.4,69.8,3.1,1.6,20.8,17.7,16.1,42.2,43.8,7.8,25.5,77.1,45.8,2.1,3.1,25.0,42.2,42.2,1.6,35.9,4.2,1.0,0,12.5
0.0,26.1,3.6,83.8,5.4,1.8,11.7,8.1,7.2,47.7,42.3,7.2,29.7,81.1,60.4,0.0,0.0,18.0,54.1,19.8,0.0,35.1,3.6,0.0,0,15.3
3.9,50.0,14.1,90.6,12.9,10.9,29.7,26.6,24.6,46.1,44.5,9.4,23.8,91.8,57.8,5.1,4.7,29.7,60.9,40.2,4.3,56.6,6.2,3.9,0,17.6
6.1,65.3,24.5,91.8,16.3,12.2,38.8,36.7,34.7,57.1,57.1,16.3,34.7,93.9,61.2,10.2,10.2,42.9,59.2,55.1,8.2,67.3,10.2,10.2,0,26.5
2.7,51.2,16.7,77.6,8.6,6.1,30.4,27.3,25.5,50.5,49.5,12.4,31.1,84.1,53.9,5.6,7.2,31.3,50.8,47.9,5.0,53.7,8.4,4.9,0,19.8
4.4,53.3,17.5,89.8,11.7,9.5,32.8,27.7,26.3,50.4,47.4,11.7,29.6,92.0,63.5,6.6,6.6,30.7,60.6,48.2,5.1,60.6,8.0,5.1,0,19.0
2.8,48.9,15.2,84.7,9.5,6.6,28.5,24.8,23.3,49.5,47.8,11.1,29.8,87.1,57.7,4.4,5.0,28.9,53.7,43.2,3.9,55.2,7.5,3.7,0,19.7
4.3,51.9,16.8,91.4,13.5,10.8,30.3,27.0,25.4,48.1,44.9,10.3,25.4,92.4,65.4,5.4,5.9,28.6,60.0,41.6,4.9,60.0,7.0,4.3,0,18.9
8.3,55.6,22.2,97.2,19.4,16.7,38.9,38.9,36.1,58.3,52.8,13.9,30.6,94.4,69.4,8.3,9.8,36.1,72.2,52.8,8.3,66.7,11.1,8.3,0,22.2
6.2,51.2,16.2,95.0,17.5,12.5,28.7,26.2,23.8,51.2,47.5,12.5,27.5,96.2,72.5,6.2,5.0,31.2,67.5,45.0,5.0,65.0,7.5,5.0,0,20.7
2.7,50.6,15.4,85.2,9.1,6.2,27.3,23.8,22.2,48.2,44.3,9.9,26.7,88.2,57.6,3.9,4.2,27.1,52.7,43.9,3.4,55.2,6.8,3.3,0,17.6
2.5,51.0,15.7,80.0,8.2,5.6,28.3,25.2,23.5,47.8,44.5,9.9,26.4,86.4,55.2,4.6,5.6,27.5,50.9,47.4,4.0,54.1,7.0,3.8,0,17.4
2.7,46.4,13.3,85.4,8.6,5.4,24.2,21.0,19.3,47.3,40.8,9.0,24.7,90.8,62.3,3.4,3.7,24.2,57.8,43.6,3.1,55.6,6.5,3.0,0,16.4
4.0,49.1,14.2,90.7,12.8,9.7,28.8,24.3,23.5,43.8,40.3,8.8,22.6,92.5,61.3,4.4,4.4,26.5,61.5,41.6,4.0,57.1,5.3,4.0,0,17.5
2.8,50.2,15.6,86.8,11.5,7.8,27.6,24.6,23.3,45.2,42.4,9.6,24.5,88.7,55.6,4.2,4.5,27.0,54.6,40.9,3.7,52.2,6.2,3.8,0,18.4
5.9,49.0,15.7,94.1,17.6,15.7,29.4,25.5,23.5,52.9,47.1,9.8,27.5,98.0,68.6,5.9,5.9,31.4,72.5,47.1,5.9,60.8,7.8,3.9,0,21.6
5.3,50.9,15.8,87.7,13.2,10.5,30.7,27.2,25.4,50.0,45.6,9.6,26.3,93.9,63.2,5.3,5.3,31.6,64.9,51.8,4.4,58.8,7.0,5.3,0,18.4
4.3,50.3,14.0,91.9,16.1,13.0,27.3,24.2,23.0,47.8,42.9,9.9,24.8,93.2,62.7,5.6,5.6,28.0,61.5,41.0,3.7,59.6,6.2,5.0,0,19.9
6.5,59.7,22.6,93.5,16.1,11.3,37.1,33.9,32.3,46.8,45.2,11.3,24.2,96.8,71.0,8.1,6.5,32.3,61.3,46.8,6.5,61.3,6.5,6.5,0,17.7
10.5,63.2,26.3,94.7,21.1,15.8,47.4,47.4,42.1,57.9,57.9,21.1,36.8,94.7,68.4,10.5,15.8,42.1,73.7,68.4,10.5,68.4,15.8,10.5,0,26.3
4.2,57.9,16.8,91.6,12.6,11.6,31.6,29.5,26.3,47.4,43.2,9.5,22.1,94.7,65.3,5.3,5.3,31.6,60.0,44.2,5.3,60.0,5.3,4.2,0,15.8
2.9,51.6,15.6,87.7,11.4,8.2,27.3,23.8,21.9,46.0,43.4,8.5,24.6,90.5,60.4,4.1,4.3,26.4,54.2,40.0,3.6,53.8,5.6,3.7,0,17.8
2.6,51.3,16.0,82.4,9.1,6.4,29.3,26.3,24.7,49.4,46.2,11.1,28.4,85.8,55.6,4.7,6.0,28.8,52.2,45.1,4.6,54.1,7.5,4.2,0,20.0
3.8,46.8,13.4,90.4,11.5,7.9,27.7,23.6,21.9,49.9,44.3,10.1,27.4,91.8,66.8,4.1,4.1,27.1,61.1,41.4,3.8,60.0,7.1,3.3,0,18.6
2.4,48.4,13.6,85.1,8.6,6.3,27.7,23.8,22.2,45.4,42.5,9.2,24.9,88.4,61.4,4.2,4.4,26.4,54.4,42.8,3.5,55.5,5.9,3.2,0,15.1
4.0,51.1,14.4,92.0,13.8,11.5,29.3,25.9,24.1,43.7,42.5,9.2,23.6,94.3,67.2,5.2,4.6,28.7,61.5,42.5,4.6,60.9,5.2,4.0,0,16.7
5.2,48.7,13.9,93.9,13.9,11.3,31.3,26.1,24.3,45.2,43.5,9.6,24.3,95.7,73.0,5.2,4.3,28.7,67.0,44.3,4.3,64.3,6.1,4.3,0,17.4
5.5,54.8,17.8,93.2,16.4,17.8,35.6,30.1,28.8,50.7,49.3,12.3,28.8,95.9,63.0,8.2,6.8,35.6,64.4,47.9,5.5,61.6,8.2,5.5,0,20.5
6.2,53.8,16.9,95.4,16.9,13.8,33.8,29.2,29.2,47.7,46.2,10.8,24.6,96.9,67.7,7.7,6.2,32.3,66.2,47.7,6.2,64.6,6.2,4.6,0,18.5
6.8,56.8,18.9,97.3,16.2,16.2,35.1,32.4,29.7,54.1,51.4,13.5,27.0,100.0,70.3,8.1,8.1,40.5,73.0,54.1,5.4,67.6,8.1,5.4,0,18.9
9.4,49.1,17.0,96.2,18.9,15.1,30.2,28.3,26.4,50.9,50.9,13.2,28.3,98.1,75.5,7.5,5.7,35.8,71.7,47.2,5.7,67.9,9.4,5.7,0,20.8
2.7,51.8,16.9,84.5,10.4,7.9,27.5,24.8,22.8,47.4,42.4,9.4,24.1,88.5,54.4,4.1,4.6,26.9,53.0,44.9,3.8,53.8,5.8,3.9,0,19.0
6.0,54.0,18.0,94.0,16.0,14.0,34.0,32.0,30.0,52.0,50.0,12.0,28.0,98.0,66.0,7.1,8.0,36.0,70.0,52.0,6.0,64.0,8.0,6.0,0,22.0
4.3,52.1,17.0,90.4,12.8,10.6,29.8,26.6,24.5,47.9,43.6,9.6,24.5,95.7,57.4,5.3,5.3,28.7,64.9,54.3,5.3,60.6,6.4,4.8,0,16.0
4.9,52.4,17.1,91.5,13.4,11.0,30.5,26.8,25.6,47.6,43.9,9.8,23.2,96.3,61.0,6.1,4.9,29.3,65.9,51.2,6.1,61.0,7.3,6.1,0,19.5
3.1,49.9,14.9,86.4,10.5,8.3,26.9,24.7,23.3,45.4,40.4,8.8,22.7,89.3,54.6,3.8,4.6,25.2,55.5,43.5,3.6,54.1,5.3,3.6,0,17.8
4.4,51.5,14.0,90.4,14.7,11.8,27.2,25.7,24.3,43.4,41.9,8.8,22.1,94.1,55.9,5.1,4.4,28.7,61.8,42.6,4.4,58.1,5.1,3.7,0,17.6
5.3,47.9,13.8,92.6,14.9,10.6,26.6,23.4,22.3,44.7,41.5,9.6,24.5,96.8,62.8,5.3,4.3,27.7,68.1,48.9,4.3,63.8,6.4,4.3,0,17.0
2.7,53.3,17.8,86.7,9.5,6.6,30.4,26.8,25.2,48.5,48.6,12.6,30.7,84.3,58.4,5.0,6.3,31.7,50.8,39.7,4.4,53.5,7.6,4.0,0,21.2
3.3,56.3,19.5,87.9,11.0,8.2,31.6,28.3,26.1,47.5,48.4,12.6,30.2,87.9,63.5,6.0,7.4,32.4,51.9,41.9,4.9,55.5,7.7,4.4,0,20.3
2.9,56.5,20.1,84.4,9.4,6.1,31.0,28.0,26.1,50.2,48.7,12.7,31.0,84.0,58.0,5.9,7.4,32.0,48.4,43.0,4.8,54.1,8.9,4.6,0,23.7
2.9,57.2,20.3,82.3,9.4,6.3,32.4,31.0,29.1,51.9,51.6,14.2,33.1,81.7,52.2,6.2,8.3,34.8,46.7,43.6,5.2,51.6,9.4,5.4,0,24.5
2.7,56.7,18.7,90.6,12.3,9.2,29.9,25.4,24.2,46.0,45.2,11.1,26.5,88.5,62.2,4.7,5.3,29.9,50.9,36.8,3.9,53.6,6.6,4.1,0,20.5
2.6,57.5,20.6,86.6,9.5,7.2,32.6,28.7,27.1,48.5,47.1,12.1,29.0,84.4,55.5,5.4,6.9,31.7,48.0,40.7,4.7,51.9,8.2,4.3,0,22.1
2.5,52.3,15.9,89.2,9.3,6.2,27.1,22.6,21.3,44.5,42.5,9.4,25.6,88.4,62.9,4.3,4.3,27.1,52.0,37.0,3.0,53.4,5.9,3.0,0,17.7
4.3,55.1,17.6,93.0,12.8,10.7,29.4,25.7,24.1,43.9,42.2,9.6,23.5,92.5,65.2,5.3,4.8,28.3,57.2,39.6,3.7,57.8,6.4,4.8,0,19.3
2.8,57.0,18.9,88.6,11.3,7.7,29.2,26.4,25.2,47.9,45.6,11.0,27.2,86.9,56.0,4.8,5.6,30.5,49.8,39.6,4.1,51.7,7.0,4.1,0,22.4
3.3,53.3,15.9,90.4,12.3,9.3,28.7,24.3,22.5,42.2,41.9,9.3,23.1,91.0,65.0,5.4,4.8,28.1,56.6,38.9,3.9,57.2,5.7,3.6,0,18.0
3.6,57.9,20.7,86.8,11.3,8.4,32.5,29.8,28.1,50.7,48.5,12.4,30.0,86.5,56.2,6.3,7.2,33.3,50.7,43.5,5.5,51.0,9.9,5.8,0,23.4
2.9,57.7,19.5,88.6,10.5,7.6,28.7,25.5,23.8,47.7,43.1,9.8,25.0,88.3,58.9,4.6,5.3,28.2,49.4,39.4,3.6,52.0,7.0,4.1,0,20.9
7.1,66.7,26.2,95.2,19.0,14.3,40.5,35.7,33.3,52.4,50.0,14.3,28.6,95.2,71.4,9.5,9.5,35.7,59.5,52.4,7.1,64.3,9.5,7.1,0,23.8
4.0,59.3,20.0,89.3,12.0,10.0,32.7,29.3,28.0,48.0,46.7,11.3,26.7,91.3,56.0,6.0,6.0,32.7,54.7,46.7,4.7,55.3,7.3,6.0,0,21.3
8.7,78.3,34.8,100.0,21.7,17.4,47.8,39.1,39.1,56.5,60.9,17.4,39.1,95.7,69.6,13.0,13.0,47.8,60.9,52.2,8.7,65.2,13.0,8.7,0,34.8
2.9,55.2,18.3,85.9,9.0,6.6,29.2,25.2,23.5,46.9,45.3,10.1,26.6,87.8,58.6,4.6,5.4,28.4,51.0,47.7,3.8,51.4,6.9,3.4,0,18.4
15.4,69.2,30.8,100.0,23.1,15.4,46.2,38.5,38.5,69.2,69.2,23.1,46.2,100.0,84.6,15.4,15.4,53.8,76.9,69.2,11.7,76.9,15.4,15.4,0,30.8
3.1,59.0,22.9,80.2,9.2,6.8,35.4,32.8,30.7,54.6,53.1,15.0,33.9,81.0,49.9,7.3,10.3,35.2,47.0,52.4,6.8,49.6,11.2,5.6,0,26.0
